name	bg22_2.fastq.VF.sorted.bam	bg22.fastq.VF.sorted.bam	bg5_2.fastq.VF.sorted.bam	bg5.fastq.VF.sorted.bam	bg6_2.fastq.VF.sorted.bam	bg6.fastq.VF.sorted.bam	bg7_2.fastq.VF.sorted.bam	bg7.fastq.VF.sorted.bam	bg8_2.fastq.VF.sorted.bam	bg8.fastq.VF.sorted.bam	sba15.fastq.VF.sorted.bam	sba16.fastq.VF.sorted.bam	sba17_1.fastq.VF.sorted.bam	sba17_2.fastq.VF.sorted.bam	sba19_1.fastq.VF.sorted.bam	sba19_2.fastq.VF.sorted.bam	sba20_1.fastq.VF.sorted.bam	sba20_2.fastq.VF.sorted.bam	sba38.fastq.VF.sorted.bam	sba46.fastq.VF.sorted.bam	sba47.fastq.VF.sorted.bam	sba48.fastq.VF.sorted.bam	sba49.fastq.VF.sorted.bam	sba50.fastq.VF.sorted.bam
VFG0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG0022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG0026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG0029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG0031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG0032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG0033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
